PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
Administracion de Empresas;5;7;9;9;9;9;7;9;9;7;7;7;7;7;6;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;8;7;7;8;7;7;7;8;8;7;7;7;7;8;7;7;7;8
Administracion de Empresas;9;9;9;9;9;9;9;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;9;9;9;9;8;9;8;9;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;9;8;9;9;9;7;9;9;9;7;8;8;8;8;9;8;8;8;8;8;8
Optometria, Mencion Contactologia y Terapia Visual;8;8;5;8;8;9;8;9;9;9;9;7;8;8;8;8;8;8;8;8;8;7;8;8;9;9;9;9;7;5;7;8;9;8;8;8;8;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;7;8;9;7;9;9;9;9;9;9;9;9;6;8;9;9;9;8;8;8;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9
Administracion de Empresas;9;8;8;9;9;9;8;9;8;9;8;8;8;8;9;9;9;9;9;9;8;8;8;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;8
Ingenieria Quimica, Mencion Alimentos;6;8;8;9;9;8;8;9;9;9;8;8;8;9;9;8;8;8;8;8;9;8;7;7;9;8;6;8;7;8;8;9;9;8;8;7;7;8;9;9;9;9;7;9;9;9;9;9;9;8;9;8;9;8
Agronomia, Mencion Mecanizacion Agricola;6;8;8;9;4;8;6;9;9;9;7;6;9;8;8;9;9;8;7;9;8;8;9;9;8;9;8;7;9;6;9;7;9;7;9;9;6;8;6;9;8;9;9;9;9;9;9;8;7;5;9;9;9;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;5;9;5;5;5;5;9;5;5;5;5;5;7;7;9;9;9;9;9;9;5;5;9;9;9;9;5;5;8;5;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;8;9;8;9;8;6;8;8;7;9;9;7;8;9;7;9;9;8;9;9;9;8;8;8;8;7;8;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;8;9;9;8;9;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;6;3;8;7;7;7;7;8;8;8;7;7;7;9;7;7;6;9;9;9;9;7;7;8;8;8;8;8
Administracion de Empresas;5;8;8;5;8;8;5;7;5;5;5;5;8;8;7;8;8;7;6;7;5;5;5;6;5;5;4;4;3;4;4;4;5;5;5;5;5;8;5;5;5;6;5;5;5;5;5;5;5;5;7;7;7;7
Ingenieria Quimica, Mencion Ambiente;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;9;9;9;8;8;8;8;8;9;8;8;8;8;8;8
Estadistica, Mencion Estadistica Aplicada;8;9;9;8;9;8;9;9;9;9;9;9;9;7;9;8;8;9;9;9;9;9;7;8;8;8;8;8;8;8;8;8;8;7;9;9;8;9;6;9;9;9;7;7;8;8;8;8;8;7;9;8;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;9;9;9;7;9;9;8;9;9;9;9;9;9;9;8;8;9;9;8;9;9;9;9;8;8;9;9;9;9;9
Administracion de Empresas;7;8;9;9;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;7;9;7;9;8;8;9;8;8;8;8;8;9;9;9;8;8;8;9;8;8;9;9;8;8;8;8;8;9;6;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Educacion, Mencion Ensenanza BAsica;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;7;9;9;9;9;5;7;8;9;8;9;9;9;9;8;8;9;9;9;9;6;8;8;9;9;9;8;8;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;7;5;4;5;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9
Administracion de Empresas;9;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;7;8;7;7;7;7;7;7;7;7;7;7;7;8;8;8
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;9;8;9;9;9;9;7;8;9;9;9;9;9;9;9;8;8;9;8;8;9;8;9;9;8;9;9;8;9;9;9;1;9;8;8;8;3;8;9;8;9;8;8;9;9;7;8;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;6;8;9;7;8;8;7;9;9;8;7;7;9;9;9;8;9;9;9;9;8;8;7;7;9;8;7;8;8;8;7;8;9;8;9;9;8;9;8;8;8;9;5;9;8;9;9;7;9;8;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;6;9;9;8;8;7;9;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;5;1;1;9;9;9;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;2;8;8;8;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;8;9;8;7;8;7;9;9;7;8;8;8;9;9;8;9;9;8;8;9;7;7;8;8;7;8;7;7;8;7;7;9;8;6;7;9;8;8;6;8;8;7;7;8;6;8;8;7;8;7;8;8;9;8
MatemAtica;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;6;8;9;8;9;7;9;8;9;9;6;7;9;9;6;7;7;8;8;9;5;5;3;8;9;9;8;7;7;6;8;9;9;6;9;9;6;8;9;8;8;8;3;5;8;5;8;7;8;8;7;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;8;8;8;8;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;9;9;9;9;9;8;8;8;9;9;8;9;9;9;9;9;8;9;8;8;8;9;8;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Gerencia de la Calidad e Innovacion;5;5;5;5;5;5;4;8;9;5;5;4;8;6;4;3;4;5;4;7;3;4;5;4;8;8;5;1;5;1;7;7;8;1;1;5;5;3;1;3;4;1;1;4;1;6;5;4;4;6;6;6;4;4
Quimica, Mencion Quimica Ambiental;7;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;5;6;9;9;8;7
Administracion de Empresas;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;7;7;7;7;7;8;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;9;8;8;8;8;8
Ingenieria Quimica, Mencion Alimentos;7;7;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;7;9;9;9;7;2;5;7;7;9;9;5;8;9;7;7;3;8;8;9;8;9;9;7;7;4;7;4;8;8;8;8
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;7;9;9;9;9;9;9;9;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;7;9;9;8;9;9;9;9;9;9;9;9;9;7;7;7;9;9;9;9;8;8;8;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Gerencia de la Calidad e Innovacion;7;8;6;6;8;8;6;9;5;7;7;7;8;6;6;8;8;8;7;8;8;6;6;7;9;7;6;4;3;7;8;8;8;7;7;6;6;8;1;3;5;3;1;7;7;6;5;7;7;7;8;8;7;7
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;9;9;9;9;5;7;7;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;7;9;8;9;9;9;9;9;9;9;9;9;9;9;9;7;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;2;7;5;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;8;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;6;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;3;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;8;8;9;5;8;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;1;9;6;9;8;9;8
Administracion de Empresas;9;9;9;9;9;9;8;7;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;8;8;7;8;8;9;8;9;8;6;5;3;5;3;5;6;7;8;6;6;7;9;8;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Zootecnia, Mencion Produccion Ganadera Sostenible;9;9;9;9;9;9;8;9;9;8;7;8;9;9;8;9;7;8;9;9;7;6;6;9;8;9;6;8;7;2;4;7;9;8;9;8;5;7;9;7;8;9;9;9;8;8;9;8;9;8;8;8;9;7
Agroindustria;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;7;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;9;9;8;8;9;8;9;9;8;8;9;9;8;9;9;9;9;9;8;8;9;8;9;9;9;9;8;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;6;7;8;8;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;7;7;7;7;8;8;8;8;8;8;9
Ingenieria Quimica, Mencion Procesos Quimicos;7;7;8;8;9;8;8;8;7;9;7;7;8;7;7;7;7;7;7;8;7;7;7;3;5;7;7;5;6;5;7;6;6;7;7;7;7;7;7;7;8;9;9;7;7;7;8;7;8;8;8;8;8;8
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agroindustria;7;8;8;9;9;8;7;8;8;8;1;5;9;7;7;7;7;8;8;8;8;2;2;7;8;7;2;7;7;8;7;8;9;5;8;8;8;2;8;8;8;9;8;8;8;9;7;8;8;5;8;7;8;7
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;8;8;5;8;9;9;8;8;9;8;9;9;9;9;9;9;8;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;6;7;9;9;9;9;9;9;8;9;8;7;9;8;8;8;7;8;7;9;8;4;6;9;5;6;5;1;2;3;6;6;7;1;8;9;7;7;1;7;5;5;1;9;9;7;8;7;6;7;8;9;8;8
MatemAtica;8;9;9;9;8;9;8;9;8;9;9;9;9;8;9;9;9;9;8;9;8;9;9;9;9;9;9;9;8;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;9;9;9;5;8;8;7;6;6;8;8;9;8;8;8;8;9;9;6;6;8;9;9;9;9;9;9;9;9;9;5;8;8;6;6;7;5;6;7;1;8;7;7;7;6;9;9;9;9;9;7
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;8;8;9;8;9;9;9;9;9;8;8;9;8;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;8;8;9;9;8;8;9;9;9;9;9;9;9;8;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9
Zootecnia, Mencion Produccion Ganadera Sostenible;5;5;5;9;9;9;8;9;5;8;8;8;9;9;7;5;9;9;9;8;6;7;8;5;9;8;5;5;3;5;4;6;8;8;5;7;5;9;9;9;9;9;9;6;6;9;7;9;9;7;8;7;8;8
Agronomia, Mencion Produccion Agricola Sostenible;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;9;9;9;9;9;9;8;9;8;8;9;7;9;9;9;9;7;9;8;8;6;9;8;8;8;7;8;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;8;9;9;9;9;6;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;9;9;9;9;9;9;7;8;9;9;9;9;9;5;9;8;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;5;5;9;9;9;9;9;9;7;9;5;9;9;9;1;9;9;9;9;7;9;7;9;9;9;8
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;7;7;9;9;7;9;7;9;9;9;9;9;9;9;9;9;1;6;9;9;9;7;4;5;1;9;9;9;9;7;9;9;9;9;9;9;5;7;1;9;9;9;9;9;9;7;9;9;9;7
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;6;9;6;7;6;8;9;6;6;8;8;9;9;9;9;9;8;8;7;5;5;5;3;4;4;6;5;6;5;5;5;5;7;4;8;8;9;8;7;6;8;5;5;5;4;4;7;7;5;5;5;7;8
Gerencia de la Calidad e Innovacion;5;6;9;9;7;7;5;9;5;5;5;5;5;5;5;8;6;8;6;6;6;6;7;7;7;7;8;8;7;8;6;7;7;9;4;6;6;6;9;6;7;6;7;7;8;8;7;7;7;7;8;8;8;6
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;8;9;8;9;9;8;8;8;8;8;8;8;8;8;7;7;7;9;9;9;5;6;7;9;9;9;9;8;9;9;7;5;9;8;9;9;5;8;9;9;9;7;9;8;9;8;9;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;7;9;9;8;9;9;8;7;8;9;9;8;9;9;9;8;9;9;8;9;9;9;9;9;6;9;7;7;9;9;8;8;9;7;8;8;8;8;9;8;9;9;8;8;7;8;8;8;8;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;9;9;8;8;7;7;7;7;7;6;9;8;8;7;7;8;7;7;9;7;8;9;1;7;6;7;7;6;5;6;7;7;7;7;7;7;7;7;8;7;7;7;7;8;8;7;7;7;7;7;8;8
Estadistica, Mencion Estadistica Aplicada;6;8;6;7;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;5;9;5;5;5;5;5;5;5;1;7;9;9;9;9;9;5;5;5;5;7;5;5;5;5;5;7;9;7;9
Desarrollo Local;6;8;9;7;8;9;7;8;7;7;6;6;8;8;8;8;8;9;7;7;7;7;7;8;8;8;8;7;8;7;8;7;8;7;8;7;8;7;8;7;8;8;7;8;7;8;8;8;8;7;8;8;8;8
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;4;4;2;8;8;7;7;8;5;7;7;7;8;8;8;8;8;8;8;8;6;7;7;8;4;4;4;2;6;2;7;7;7;7;7;8;8;8;8;8;8;8;7;8;8;7;7;6;4;5;8;8;8;7
Desarrollo Local;8;8;8;6;7;7;8;8;8;7;7;7;7;8;7;7;7;7;7;8;7;7;7;6;6;6;7;4;7;5;6;7;7;3;6;6;6;6;6;7;7;7;7;7;8;7;7;8;7;7;7;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;5;9;8;8;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;5;9;4;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;7;9;9;9;9;5;9;4;8;9;9;1;9;9;9;9;1;6;7;7;5;8;9;8;8;4;7;9;9;9;9;9
Desarrollo Local;8;8;9;9;9;9;7;9;8;7;7;7;9;7;8;8;3;7;4;7;7;6;2;7;8;7;6;2;7;8;8;8;8;3;7;7;3;1;2;5;8;8;5;8;7;5;5;3;7;7;8;7;8;7
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;5;9;5;9;5;5;9;5;9;5;5;8;8;9;5;9;7;9;7;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;7;7;9;8;9;8;8;8;8;8;8;9;8;8;8;7;7;9;7;8;9;8;9;9;9;8;7;8;7;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;5;5;7;6;4;5;5;5;5;7;6;5;9;6;7;6;5;5;5;5;5;4;3;7;8;8;8;5;8;4;4;8;8;2;2;2;2;2;2;1;7;5;9;9;6;6;6;1;7;4;7;7;6;5
Ingenieria Agricola;9;8;9;9;9;9;8;9;8;8;8;8;9;9;9;9;9;9;9;9;8;8;8;8;7;8;8;6;8;6;7;8;9;8;8;8;8;9;9;9;9;9;7;8;8;8;8;9;8;8;8;8;8;8
Ingenieria Agricola;9;9;9;9;9;9;5;5;9;5;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;5;1;1;9;1;5;5;9;5;5;5;9;9;5;5;9;9;5;5;5;9;9;5;5;5;9;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Ingenieria Agricola;7;7;8;8;9;8;7;8;8;8;7;7;8;8;7;7;8;7;7;8;7;7;7;7;8;7;7;7;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;7;9;7;9;7;7;7;7;7;7;7;6;6;7;7;7;9;9;7;7;7;7;7;7;3;3;1;2;4;4;4;2;4;4;4;3;5;7;1;4;4;4;4;8;3;3;5;5;6;4
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;4;6;5;7;8;7;7;8;7;7;7;5;9;6;7;6;7;3;3;8;5;5;6;2;1;1;1;1;3;1;1;1;1;4;5;5;4;6;5;1;5;1;1;1;1;1;5;1;1;1;4;1;5;5
Ingenieria Agricola;9;8;9;8;9;9;9;8;9;9;9;9;9;8;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9;9;8;9;9;9;9;8;9;9;9;9;9;8;9;9;9;9;9;9;9
